English_Queries,Task,Category,Sub_Category,Customer
fetch Bottom Line for the Customer UNIFI in month Feb?,Bottom Line,NA,NA,UNIFI
get Bottom Line for Sub_category Juice in year 2019?,Bottom Line,NA,Juice,NA
display Bottom Line for category Candy in quarter Q1?,Bottom Line,Candy,NA,NA
generate Top Line for Sub_category Mayonaise in month Mar to Nov?,Top Line,NA,Mayonaise,NA
get Bottom Line for the Customer Publix in week Wk44?,Bottom Line,NA,NA,Publix
get Net sales for Sub_category Shelf Stable in week Wk16 to Wk28?,Net sales,NA,Shelf Stable,NA
generate Top Line for Sub_category Mayonaise in week Wk27?,Top Line,NA,Mayonaise,NA
fetch Bottom Line for Sub_category Grated in quarter Q2 to Q4?,Bottom Line,NA,Grated,NA
get Gross Sales for category Cheese in month Aug?,Gross Sales,Cheese,NA,NA
fetch Gross Sales for the Customer Costco in quarter Q1 to Q4?,Gross Sales,NA,NA,Costco
display Count for the Customer UNIFI in quarter Q3?,Count,NA,NA,UNIFI
fetch Count for the Customer Aldi in quarter Q2 to Q4?,Count,NA,NA,Aldi
get Revenue for the Customer Amazon in week Wk46?,Revenue,NA,NA,Amazon
display Top Line for category Meats in quarter Q1 to Q4?,Top Line,Meats,NA,NA
display Count for Sub_category Hard in year 2019?,Count,NA,Hard,NA
fetch Bottom Line for the Customer Dollar General in month Mar to Aug?,Bottom Line,NA,NA,Dollar General
generate Max Shipment for category Meats in week Wk46?,Max Shipment,Meats,NA,NA
generate Net sales for Sub_category Bacon in month Feb to Nov?,Net sales,NA,Bacon,NA
fetch Net sales for the Customer UNIFI in year 2019?,Net sales,NA,NA,UNIFI
generate Revenue for the Customer Publix in year 2019?,Revenue,NA,NA,Publix
get Max Shipment for the Customer Ahold in year 2019?,Max Shipment,NA,NA,Ahold
generate Net sales for Sub_category Ketchup in week Wk18 to Wk33?,Net sales,NA,Ketchup,NA
display Top Line for the Customer Ahold in year 2019?,Top Line,NA,NA,Ahold
display Top Line for category Cheese in month Jun to Sep?,Top Line,Cheese,NA,NA
generate Max Shipment for Sub_category Hard in week Wk52?,Max Shipment,NA,Hard,NA
display Max Shipment for Sub_category Hard in week Wk2 to Wk36?,Max Shipment,NA,Hard,NA
display Gross Sales for Sub_category Natural Cheese in quarter Q1?,Gross Sales,NA,Natural Cheese,NA
get Top Line for Sub_category Natural Cheese in month Apr to Sep?,Top Line,NA,Natural Cheese,NA
fetch Count for Sub_category Juice in quarter Q4?,Count,NA,Juice,NA
display Count for category Breakfast in year 2019?,Count,Breakfast,NA,NA
get Count for category Sauces in quarter Q1?,Count,Sauces,NA,NA
display Top Line for Sub_category Enhancers in month Mar to Aug?,Top Line,NA,Enhancers,NA
get Count for category Breakfast in quarter Q4?,Count,Breakfast,NA,NA
display Top Line for category Candy in year 2019?,Top Line,Candy,NA,NA
display Net sales for category Candy in year 2019?,Net sales,Candy,NA,NA
generate Top Line for the Customer Aldi in week Wk1 to Wk47?,Top Line,NA,NA,Aldi
generate Net sales for Sub_category All others in year 2019?,Net sales,NA,All others,NA
display Net sales for category Candy in quarter Q1 to Q4?,Net sales,Candy,NA,NA
generate Bottom Line for category Sauces in quarter Q1?,Bottom Line,Sauces,NA,NA
display Bottom Line for the Customer Publix in month Apr to Aug?,Bottom Line,NA,NA,Publix
get Net sales for Sub_category Cold Cuts in month Aug?,Net sales,NA,Cold Cuts,NA
generate Max Shipment for Sub_category Hard in quarter Q1 to Q4?,Max Shipment,NA,Hard,NA
display Net sales for the Customer UNIFI in week Wk9?,Net sales,NA,NA,UNIFI
get Max Shipment for the Customer Walmart in quarter Q2 to Q4?,Max Shipment,NA,NA,Walmart
get Count for category Meats in quarter Q4?,Count,Meats,NA,NA
generate Revenue for category Candy in year 2019?,Revenue,Candy,NA,NA
generate Max Shipment for Sub_category Bacon in year 2019?,Max Shipment,NA,Bacon,NA
display Top Line for the Customer Kroger in month Mar to Aug?,Top Line,NA,NA,Kroger
get Gross Sales for the Customer Target in year 2019?,Gross Sales,NA,NA,Target
generate Revenue for category Meats in quarter Q1 to Q4?,Revenue,Meats,NA,NA
display Bottom Line for category Candy in year 2019?,Bottom Line,Candy,NA,NA
fetch Top Line for the Customer UNIFI in quarter Q2 to Q4?,Top Line,NA,NA,UNIFI
get Bottom Line for Sub_category Grated in month Sep?,Bottom Line,NA,Grated,NA
fetch Top Line for Sub_category Hot Dogs in month Mar to Sep?,Top Line,NA,Hot Dogs,NA
display Gross Sales for the Customer Ahold in month Nov?,Gross Sales,NA,NA,Ahold
generate Max Shipment for Sub_category Caramels in month Feb to Sep?,Max Shipment,NA,Caramels,NA
generate Max Shipment for the Customer Albertsons/Safeway in year 2019?,Max Shipment,NA,NA,Albertsons/Safeway
generate Count for Sub_category Juice in month May to Oct?,Count,NA,Juice,NA
get Count for Sub_category Enhancers in week Wk10?,Count,NA,Enhancers,NA
generate Count for the Customer Albertsons/Safeway in year 2019?,Count,NA,NA,Albertsons/Safeway
display Net sales for the Customer Publix in month Dec?,Net sales,NA,NA,Publix
get Count for the Customer Albertsons/Safeway in quarter Q2 to Q4?,Count,NA,NA,Albertsons/Safeway
display Max Shipment for category Sauces in week Wk11?,Max Shipment,Sauces,NA,NA
get Max Shipment for Sub_category Ketchup in quarter Q1 to Q4?,Max Shipment,NA,Ketchup,NA
get Gross Sales for category Breakfast in year 2019?,Gross Sales,Breakfast,NA,NA
get Net sales for the Customer Costco in year 2019?,Net sales,NA,NA,Costco
fetch Count for the Customer Amazon in month Aug?,Count,NA,NA,Amazon
generate Max Shipment for the Customer Target in quarter Q1 to Q4?,Max Shipment,NA,NA,Target
generate Gross Sales for category Sauces in quarter Q3?,Gross Sales,Sauces,NA,NA
generate Gross Sales for category Cheese in month May to Sep?,Gross Sales,Cheese,NA,NA
get Bottom Line for category Meats in month Dec?,Bottom Line,Meats,NA,NA
fetch Bottom Line for the Customer Albertsons/Safeway in quarter Q1 to Q4?,Bottom Line,NA,NA,Albertsons/Safeway
get Max Shipment for category Candy in quarter Q4?,Max Shipment,Candy,NA,NA
generate Revenue for category Sauces in year 2019?,Revenue,Sauces,NA,NA
fetch Bottom Line for Sub_category Coffee in month May?,Bottom Line,NA,Coffee,NA
display Top Line for Sub_category All others in quarter Q1 to Q4?,Top Line,NA,All others,NA
display Top Line for category Breakfast in month Jan?,Top Line,Breakfast,NA,NA
get Max Shipment for category Sauces in week Wk14 to Wk28?,Max Shipment,Sauces,NA,NA
get Gross Sales for category Meats in year 2019?,Gross Sales,Meats,NA,NA
generate Bottom Line for Sub_category Shelf Stable in month Jan to Sep?,Bottom Line,NA,Shelf Stable,NA
generate Bottom Line for Sub_category Grated in quarter Q2?,Bottom Line,NA,Grated,NA
get Top Line for category Candy in month Mar to Oct?,Top Line,Candy,NA,NA
get Revenue for Sub_category Specialty Meats in week Wk9?,Revenue,NA,Specialty Meats,NA
fetch Net sales for the Customer Target in week Wk18 to Wk27?,Net sales,NA,NA,Target
get Revenue for category Meats in month Jun?,Revenue,Meats,NA,NA
fetch Top Line for the Customer Albertsons/Safeway in year 2019?,Top Line,NA,NA,Albertsons/Safeway
get Gross Sales for the Customer Dollar General in year 2019?,Gross Sales,NA,NA,Dollar General
fetch Net sales for category Breakfast in week Wk19 to Wk48?,Net sales,Breakfast,NA,NA
display Top Line for the Customer Costco in week Wk44?,Top Line,NA,NA,Costco
generate Bottom Line for category Cheese in quarter Q2 to Q4?,Bottom Line,Cheese,NA,NA
fetch Top Line for Sub_category Tea in month Apr?,Top Line,NA,Tea,NA
generate Max Shipment for the Customer Aldi in week Wk1 to Wk41?,Max Shipment,NA,NA,Aldi
display Revenue for category Meats in week Wk41?,Revenue,Meats,NA,NA
get Gross Sales for Sub_category Shelf Stable in quarter Q1 to Q4?,Gross Sales,NA,Shelf Stable,NA
fetch Top Line for category Cheese in quarter Q4?,Top Line,Cheese,NA,NA
get Max Shipment for the Customer Amazon in week Wk8 to Wk47?,Max Shipment,NA,NA,Amazon
fetch Gross Sales for Sub_category Bars/Snacks in quarter Q4?,Gross Sales,NA,Bars/Snacks,NA
get Gross Sales for Sub_category Specialty Meats in week Wk11 to Wk32?,Gross Sales,NA,Specialty Meats,NA
get Bottom Line for category Sauces in year 2019?,Bottom Line,Sauces,NA,NA
fetch Revenue for category Candy in week Wk14 to Wk39?,Revenue,Candy,NA,NA
get Revenue for the Customer Dollar General in week Wk14?,Revenue,NA,NA,Dollar General
fetch Max Shipment for category Sauces in week Wk1 to Wk34?,Max Shipment,Sauces,NA,NA
display Gross Sales for category Candy in month Jun?,Gross Sales,Candy,NA,NA
display Count for category Meats in quarter Q1 to Q4?,Count,Meats,NA,NA
display Gross Sales for Sub_category BBQ in quarter Q2?,Gross Sales,NA,BBQ,NA
get Top Line for category Breakfast in month Apr to Sep?,Top Line,Breakfast,NA,NA
get Count for category Cheese in year 2019?,Count,Cheese,NA,NA
get Count for category Cheese in week Wk7 to Wk34?,Count,Cheese,NA,NA
fetch Count for the Customer Costco in year 2019?,Count,NA,NA,Costco
fetch Count for category Breakfast in week Wk16 to Wk49?,Count,Breakfast,NA,NA
display Bottom Line for Sub_category Caramels in week Wk16?,Bottom Line,NA,Caramels,NA
generate Net sales for category Cheese in quarter Q2 to Q4?,Net sales,Cheese,NA,NA
display Max Shipment for category Breakfast in year 2019?,Max Shipment,Breakfast,NA,NA
display Count for category Cheese in week Wk2 to Wk28?,Count,Cheese,NA,NA
generate Bottom Line for Sub_category Processed Cheese in week Wk19?,Bottom Line,NA,Processed Cheese,NA
get Net sales for category Cheese in week Wk16 to Wk36?,Net sales,Cheese,NA,NA
get Bottom Line for Sub_category Bacon in quarter Q3?,Bottom Line,NA,Bacon,NA
generate Top Line for the Customer Aldi in quarter Q2 to Q4?,Top Line,NA,NA,Aldi
fetch Revenue for the Customer Walmart in quarter Q1?,Revenue,NA,NA,Walmart
fetch Gross Sales for category Breakfast in month May to Oct?,Gross Sales,Breakfast,NA,NA
fetch Count for the Customer Aldi in year 2019?,Count,NA,NA,Aldi
fetch Max Shipment for the Customer Aldi in year 2019?,Max Shipment,NA,NA,Aldi
generate Bottom Line for the Customer Kroger in week Wk42?,Bottom Line,NA,NA,Kroger
generate Gross Sales for Sub_category Juice in quarter Q1 to Q4?,Gross Sales,NA,Juice,NA
fetch Revenue for category Cheese in month Nov?,Revenue,Cheese,NA,NA
generate Net sales for category Candy in quarter Q1 to Q4?,Net sales,Candy,NA,NA
get Net sales for category Breakfast in quarter Q3?,Net sales,Breakfast,NA,NA
display Count for Sub_category Mayonaise in week Wk22 to Wk29?,Count,NA,Mayonaise,NA
display Net sales for the Customer Ahold in week Wk40?,Net sales,NA,NA,Ahold
display Top Line for category Candy in week Wk15 to Wk31?,Top Line,Candy,NA,NA
fetch Max Shipment for Sub_category Chocolate in year 2019?,Max Shipment,NA,Chocolate,NA
fetch Gross Sales for Sub_category Coffee in year 2019?,Gross Sales,NA,Coffee,NA
get Max Shipment for the Customer Walmart in quarter Q3?,Max Shipment,NA,NA,Walmart
get Revenue for the Customer Aldi in quarter Q2 to Q4?,Revenue,NA,NA,Aldi
generate Max Shipment for the Customer Kroger in month Jan?,Max Shipment,NA,NA,Kroger
display Revenue for category Cheese in week Wk3 to Wk30?,Revenue,Cheese,NA,NA
display Top Line for the Customer Walmart in month Jun?,Top Line,NA,NA,Walmart
generate Max Shipment for Sub_category Specialty Meats in week Wk16 to Wk43?,Max Shipment,NA,Specialty Meats,NA
generate Revenue for the Customer Costco in month Jul?,Revenue,NA,NA,Costco
fetch Bottom Line for category Sauces in quarter Q1 to Q4?,Bottom Line,Sauces,NA,NA
generate Top Line for the Customer Ahold in year 2019?,Top Line,NA,NA,Ahold
display Bottom Line for category Sauces in month Jun to Nov?,Bottom Line,Sauces,NA,NA
display Revenue for Sub_category Grated in month Jun?,Revenue,NA,Grated,NA
generate Gross Sales for the Customer Ahold in month Jan to Nov?,Gross Sales,NA,NA,Ahold
display Bottom Line for category Sauces in week Wk9?,Bottom Line,Sauces,NA,NA
display Gross Sales for category Candy in month Feb to Dec?,Gross Sales,Candy,NA,NA
generate Top Line for Sub_category Enhancers in quarter Q3?,Top Line,NA,Enhancers,NA
generate Revenue for category Sauces in year 2019?,Revenue,Sauces,NA,NA
display Gross Sales for the Customer Albertsons/Safeway in month Feb?,Gross Sales,NA,NA,Albertsons/Safeway
get Net sales for Sub_category Grated in year 2019?,Net sales,NA,Grated,NA
get Top Line for Sub_category Mayonaise in quarter Q1?,Top Line,NA,Mayonaise,NA
get Max Shipment for Sub_category Specialty Meats in week Wk18 to Wk37?,Max Shipment,NA,Specialty Meats,NA
generate Count for Sub_category Ketchup in quarter Q2?,Count,NA,Ketchup,NA
generate Revenue for the Customer Amazon in week Wk14 to Wk40?,Revenue,NA,NA,Amazon
fetch Max Shipment for Sub_category Hot Dogs in week Wk23?,Max Shipment,NA,Hot Dogs,NA
get Count for Sub_category Specialty Meats in week Wk12 to Wk37?,Count,NA,Specialty Meats,NA
fetch Net sales for Sub_category Processed Cheese in month Apr?,Net sales,NA,Processed Cheese,NA
get Count for Sub_category Creamers in month Apr to Sep?,Count,NA,Creamers,NA
